term,beta,hc3_robust_se,z_value,p_value,ci95_beta_low,ci95_beta_high,odds_ratio,or_ci95_low,or_ci95_high,odds_percent_change,p_fdr_bh,significant_raw_0_05,significant_fdr_0_05,average_marginal_effect,ame_se,ame_p_value,ame_ci95_low,ame_ci95_high
combat,-0.08879722751,0.03458439082,-2.567552164,0.01024193782,-0.156581388,-0.02101306707,0.9150310979,0.8550619231,0.9792061691,-8.49689021,0.03072581346,True,True,-0.01622351563,0.006235043283,0.009268475616,-0.0284439759,-0.004003055349
challenge,-0.003508240214,0.03771858727,-0.09301091235,0.925894892,-0.07743531281,0.07041883238,0.9964979065,0.9254868896,1.072957476,-0.350209353,0.925894892,False,False,-0.0006489225327,0.006972425388,0.9258480756,-0.01431462518,0.01301678011
progression,0.1338108804,0.04288698557,3.120081271,0.001808011492,0.0497539333,0.2178678275,1.143176602,1.051012445,1.243422711,14.31766021,0.01084806895,True,True,0.02541571916,0.008349590742,0.002334955784,0.009050822015,0.0417806163
exploration,0.08192642702,0.03775613912,2.169883598,0.03001566515,0.007925754146,0.1559270999,1.085375953,1.007957246,1.168740999,8.537595255,0.06003133029,True,False,0.01539296403,0.007198458143,0.03248675811,0.001284245325,0.02950168273
narrative,-0.05763111466,0.03045027541,-1.892630326,0.05840704797,-0.1173125578,0.002050328459,0.9439981103,0.8893071898,1.002052432,-5.600188972,0.08761057196,False,False,-0.01061263508,0.005577912216,0.05709043463,-0.02154514213,0.000319871976
immersion,0.05630639289,0.04048056876,1.39094866,0.1642409955,-0.02303406395,0.1356468497,1.057921774,0.9772291949,1.145277367,5.792177379,0.1970891946,False,False,0.01053688934,0.007657531936,0.1688165637,-0.004471597469,0.02554537614
