recommendation_id,game,playtime_at_review_hours,game_q75,high_playtime,review_word_count,log_review_words,combat,challenge,progression,exploration,narrative,immersion,steam_purchase,received_for_free
229517617,Cyberpunk 2077,50.95,138.225025,0,79,4.382026635,0,0,1,0,1,0,1,0
229516431,Cyberpunk 2077,45.1833,138.225025,0,50,3.931825633,0,0,0,0,1,0,1,0
229516302,Cyberpunk 2077,22.7167,138.225025,0,16,2.833213344,0,0,0,0,0,0,1,0
229515979,Cyberpunk 2077,10.9833,138.225025,0,25,3.258096538,0,0,0,0,0,0,1,0
229515930,Cyberpunk 2077,45.4667,138.225025,0,48,3.891820298,0,0,0,0,1,0,1,0
229515927,Cyberpunk 2077,88.4667,138.225025,0,312,5.746203191,1,0,1,1,1,1,1,0
229515175,Cyberpunk 2077,25.7667,138.225025,0,16,2.833213344,0,0,0,0,0,0,1,0
229515051,Cyberpunk 2077,6.75,138.225025,0,10,2.397895273,0,0,0,0,0,0,1,0
229513647,Cyberpunk 2077,45.6833,138.225025,0,138,4.934473933,0,0,0,0,1,1,1,0
229512262,Cyberpunk 2077,0.85,138.225025,0,11,2.48490665,0,0,0,0,0,0,1,0
229511158,Cyberpunk 2077,60.7,138.225025,0,228,5.433722004,1,1,1,1,1,1,1,0
229509688,Cyberpunk 2077,27.4,138.225025,0,19,2.995732274,0,0,0,0,0,0,1,0
229509466,Cyberpunk 2077,71.3167,138.225025,0,56,4.043051268,0,0,0,0,1,1,1,0
229509080,Cyberpunk 2077,212.6,138.225025,1,47,3.871201011,0,0,0,0,1,1,1,0
229507620,Cyberpunk 2077,7.2,138.225025,0,14,2.708050201,0,0,0,0,0,0,1,0
229507270,Cyberpunk 2077,20.2,138.225025,0,12,2.564949357,0,0,0,0,0,0,1,0
229505608,Cyberpunk 2077,287.9667,138.225025,1,10,2.397895273,0,0,0,0,0,0,1,0
229505424,Cyberpunk 2077,251.7833,138.225025,1,10,2.397895273,0,0,0,0,0,0,1,0
229503651,Cyberpunk 2077,10.7667,138.225025,0,75,4.33073334,0,0,0,0,0,0,1,0
229501456,Cyberpunk 2077,51.9833,138.225025,0,26,3.295836866,0,0,0,0,1,1,1,0
229500847,Cyberpunk 2077,50.8333,138.225025,0,34,3.555348061,0,0,0,0,0,0,1,0
229499792,Cyberpunk 2077,30.35,138.225025,0,14,2.708050201,0,0,0,0,0,0,1,0
229498627,Cyberpunk 2077,13.15,138.225025,0,113,4.736198448,0,0,1,0,1,0,1,0
229497974,Cyberpunk 2077,19.8833,138.225025,0,10,2.397895273,0,0,0,0,1,0,1,0
229497712,Cyberpunk 2077,3.3,138.225025,0,15,2.772588722,0,0,0,0,0,0,1,0
229497655,Cyberpunk 2077,6.9,138.225025,0,25,3.258096538,0,0,0,0,0,0,1,0
229492956,Cyberpunk 2077,91.6833,138.225025,0,318,5.765191103,0,0,1,1,1,1,1,0
229491188,Cyberpunk 2077,244.3,138.225025,1,28,3.36729583,0,0,0,0,0,0,1,0
229490526,Cyberpunk 2077,389.2,138.225025,1,63,4.158883083,0,0,1,0,1,0,1,0
229485028,Cyberpunk 2077,33.3333,138.225025,0,57,4.060443011,0,0,0,0,1,0,1,0
229483491,Cyberpunk 2077,70.1833,138.225025,0,101,4.624972813,0,1,0,0,0,0,1,0
229483157,Cyberpunk 2077,200,138.225025,1,16,2.833213344,0,0,0,0,1,0,1,0
229482496,Cyberpunk 2077,69.5333,138.225025,0,126,4.844187086,1,0,0,0,0,1,1,0
